"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25005219730000","NorthWestern Corporation","Battle  7-35","Gas","Producing","Blaine","Battle Creek","36N-19E","35",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-005-21973-00-00","7/31/2025 12:00:00 AM","Eagle","164","0","62","0","14",
"25-005-21973-00-00","6/30/2025 12:00:00 AM","Eagle","164","0","232","0","30",
"25-005-21973-00-00","5/31/2025 12:00:00 AM","Eagle","164","0","64","0","12",
"25-005-21973-00-00","4/30/2025 12:00:00 AM","Eagle","164","0","102","0","23",
"25-005-21973-00-00","3/31/2025 12:00:00 AM","Eagle","164","0","101","0","31",
"25-005-21973-00-00","2/28/2025 12:00:00 AM","Eagle","164","0","145","0","20",
"25-005-21973-00-00","1/31/2025 12:00:00 AM","Eagle","164","0","86","0","17",
"25-005-21973-00-00","12/31/2024 12:00:00 AM","Eagle","164","0","113","0","31",
"25-005-21973-00-00","11/30/2024 12:00:00 AM","Eagle","164","0","112","0","30",
"25-005-21973-00-00","10/31/2024 12:00:00 AM","Eagle","164","0","76","0","31",
"25-005-21973-00-00","9/30/2024 12:00:00 AM","Eagle","164","0","89","0","30",
"25-005-21973-00-00","8/31/2024 12:00:00 AM","Eagle","164","0","109","0","31",
"25-005-21973-00-00","7/31/2024 12:00:00 AM","Eagle","164","0","91","0","30",
"25-005-21973-00-00","6/30/2024 12:00:00 AM","Eagle","164","0","123","0","30",
"25-005-21973-00-00","5/31/2024 12:00:00 AM","Eagle","164","0","130","0","31",
"25-005-21973-00-00","4/30/2024 12:00:00 AM","Eagle","164","0","110","0","30",
"25-005-21973-00-00","3/31/2024 12:00:00 AM","Eagle","164","0","135","0","31",
"25-005-21973-00-00","2/29/2024 12:00:00 AM","Eagle","164","0","117","0","29",
"25-005-21973-00-00","1/31/2024 12:00:00 AM","Eagle","164","0","177","0","23",
"25-005-21973-00-00","12/31/2023 12:00:00 AM","Eagle","164","0","127","0","31",
"25-005-21973-00-00","11/30/2023 12:00:00 AM","Eagle","164","0","109","0","30",
"25-005-21973-00-00","10/31/2023 12:00:00 AM","Eagle","164","0","87","0","22",
"25-005-21973-00-00","9/30/2023 12:00:00 AM","Eagle","164","0","30","0","10",
"25-005-21973-00-00","8/31/2023 12:00:00 AM","Eagle","164","0","70","0","15",
"25-005-21973-00-00","7/31/2023 12:00:00 AM","Eagle","164","0","0","0","0",
"25-005-21973-00-00","6/30/2023 12:00:00 AM","Eagle","164","0","0","0","0",
"25-005-21973-00-00","5/31/2023 12:00:00 AM","Eagle","164","0","0","0","0",
"25-005-21973-00-00","4/30/2023 12:00:00 AM","Eagle","164","0","17","0","3",
"25-005-21973-00-00","3/31/2023 12:00:00 AM","Eagle","164","0","0","0","0",
"25-005-21973-00-00","2/28/2023 12:00:00 AM","Eagle","164","0","0","0","0",
"25-005-21973-00-00","1/31/2023 12:00:00 AM","Eagle","164","0","39","0","10",
"25-005-21973-00-00","12/31/2022 12:00:00 AM","Eagle","164","0","190","0","26",
"25-005-21973-00-00","11/30/2022 12:00:00 AM","Eagle","164","0","233","0","22",
"25-005-21973-00-00","10/31/2022 12:00:00 AM","Eagle","164","0","285","0","31",
"25-005-21973-00-00","9/30/2022 12:00:00 AM","Eagle","164","0","257","0","30",
"25-005-21973-00-00","8/31/2022 12:00:00 AM","Eagle","164","0","99","0","23",
"25-005-21973-00-00","7/31/2022 12:00:00 AM","Eagle","164","0","172","0","24",
"25-005-21973-00-00","6/30/2022 12:00:00 AM","Eagle","164","0","174","0","29",
"25-005-21973-00-00","5/31/2022 12:00:00 AM","Eagle","164","0","166","0","29",
"25-005-21973-00-00","4/30/2022 12:00:00 AM","Eagle","164","0","216","0","29",
"25-005-21973-00-00","3/31/2022 12:00:00 AM","Eagle","164","0","14","0","2",
"25-005-21973-00-00","2/28/2022 12:00:00 AM","Eagle","164","0","0","0","0",
"25-005-21973-00-00","1/31/2022 12:00:00 AM","Eagle","164","0","0","0","0",
"25-005-21973-00-00","12/31/2021 12:00:00 AM","Eagle","164","0","0","0","0",
"25-005-21973-00-00","11/30/2021 12:00:00 AM","Eagle","164","0","0","0","0",
"25-005-21973-00-00","10/31/2021 12:00:00 AM","Eagle","164","0","0","0","0",
"25-005-21973-00-00","9/30/2021 12:00:00 AM","Eagle","164","0","0","0","0",
"25-005-21973-00-00","8/31/2021 12:00:00 AM","Eagle","164","0","1","0","0",
"25-005-21973-00-00","7/31/2021 12:00:00 AM","Eagle","164","0","0","0","0",
"25-005-21973-00-00","6/30/2021 12:00:00 AM","Eagle","164","0","0","0","0",
"25-005-21973-00-00","5/31/2021 12:00:00 AM","Eagle","164","0","0","0","0",
"25-005-21973-00-00","4/30/2021 12:00:00 AM","Eagle","164","0","0","0","0",
"25-005-21973-00-00","3/31/2021 12:00:00 AM","Eagle","164","0","86","0","21",
"25-005-21973-00-00","2/28/2021 12:00:00 AM","Eagle","164","0","127","0","23",
"25-005-21973-00-00","1/31/2021 12:00:00 AM","Eagle","164","0","141","0","26",
"25-005-21973-00-00","12/31/2020 12:00:00 AM","Eagle","164","0","115","0","17",
"25-005-21973-00-00","11/30/2020 12:00:00 AM","Eagle","164","0","198","0","28",
"25-005-21973-00-00","10/31/2020 12:00:00 AM","Eagle","164","0","128","0","28",
"25-005-21973-00-00","9/30/2020 12:00:00 AM","Eagle","164","0","98","0","26",
"25-005-21973-00-00","8/31/2020 12:00:00 AM","Eagle","164","0","87","0","23",
"25-005-21973-00-00","7/31/2020 12:00:00 AM","Eagle","164","0","93","0","18",
"25-005-21973-00-00","6/30/2020 12:00:00 AM","Eagle","164","0","92","0","25",
"25-005-21973-00-00","5/31/2020 12:00:00 AM","Eagle","164","0","0","0","0",
"25-005-21973-00-00","4/30/2020 12:00:00 AM","Eagle","164","0","35","0","15",
"25-005-21973-00-00","3/31/2020 12:00:00 AM","Eagle","164","0","92","0","27",
"25-005-21973-00-00","2/29/2020 12:00:00 AM","Eagle","164","0","110","0","26",
"25-005-21973-00-00","1/31/2020 12:00:00 AM","Eagle","164","0","163","0","31",
"25-005-21973-00-00","12/31/2019 12:00:00 AM","Eagle","164","0","169","0","31",
"25-005-21973-00-00","11/30/2019 12:00:00 AM","Eagle","164","0","126","0","30",
"25-005-21973-00-00","10/31/2019 12:00:00 AM","Eagle","164","0","106","0","31",
"25-005-21973-00-00","9/30/2019 12:00:00 AM","Eagle","164","0","99","0","30",
"25-005-21973-00-00","8/31/2019 12:00:00 AM","Eagle","164","0","53","0","31",
"25-005-21973-00-00","7/31/2019 12:00:00 AM","Eagle","164","0","97","0","31",
"25-005-21973-00-00","6/30/2019 12:00:00 AM","Eagle","164","0","127","0","26",
"25-005-21973-00-00","5/31/2019 12:00:00 AM","Eagle","164","0","44","0","31",
"25-005-21973-00-00","4/30/2019 12:00:00 AM","Eagle","164","0","25","0","10",
"25-005-21973-00-00","3/31/2019 12:00:00 AM","Eagle","164","0","52","0","20",
