"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25051216800000","A. B. Energy LLC","Beaudoin  10-32","Gas","Producing","Liberty","Haystack Butte, West","36N-4E","32",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-051-21680-00-00","7/31/2025 12:00:00 AM","Bow Island","4624","0","136","0","31",
"25-051-21680-00-00","6/30/2025 12:00:00 AM","Bow Island","4624","0","133","0","30",
"25-051-21680-00-00","5/31/2025 12:00:00 AM","Bow Island","4624","0","141","0","31",
"25-051-21680-00-00","4/30/2025 12:00:00 AM","Bow Island","4624","0","132","0","30",
"25-051-21680-00-00","3/31/2025 12:00:00 AM","Bow Island","4624","0","123","0","31",
"25-051-21680-00-00","2/28/2025 12:00:00 AM","Bow Island","4624","0","105","0","28",
"25-051-21680-00-00","1/31/2025 12:00:00 AM","Bow Island","4624","0","130","0","31",
"25-051-21680-00-00","12/31/2024 12:00:00 AM","Bow Island","4624","0","130","0","31",
"25-051-21680-00-00","11/30/2024 12:00:00 AM","Bow Island","4624","0","128","0","30",
"25-051-21680-00-00","10/31/2024 12:00:00 AM","Bow Island","4624","0","73","0","31",
"25-051-21680-00-00","9/30/2024 12:00:00 AM","Bow Island","4624","0","123","0","30",
"25-051-21680-00-00","8/31/2024 12:00:00 AM","Bow Island","4624","0","125","0","31",
"25-051-21680-00-00","7/31/2024 12:00:00 AM","Bow Island","4624","0","129","0","31",
"25-051-21680-00-00","6/30/2024 12:00:00 AM","Bow Island","4624","0","129","0","30",
"25-051-21680-00-00","5/31/2024 12:00:00 AM","Bow Island","4624","0","137","0","31",
"25-051-21680-00-00","4/30/2024 12:00:00 AM","Bow Island","4624","0","135","0","30",
"25-051-21680-00-00","3/31/2024 12:00:00 AM","Bow Island","4624","0","137","0","30",
"25-051-21680-00-00","2/29/2024 12:00:00 AM","Bow Island","4624","0","127","0","30",
"25-051-21680-00-00","1/31/2024 12:00:00 AM","Bow Island","4624","0","141","0","30",
"25-051-21680-00-00","12/31/2023 12:00:00 AM","Bow Island","4624","0","145","0","30",
"25-051-21680-00-00","11/30/2023 12:00:00 AM","Bow Island","4624","0","123","0","30",
"25-051-21680-00-00","10/31/2023 12:00:00 AM","Bow Island","4624","0","121","0","30",
"25-051-21680-00-00","9/30/2023 12:00:00 AM","Bow Island","4624","0","117","0","30",
"25-051-21680-00-00","8/31/2023 12:00:00 AM","Bow Island","4624","0","0","0","0",
"25-051-21680-00-00","7/31/2023 12:00:00 AM","Bow Island","4624","0","129","0","30",
"25-051-21680-00-00","6/30/2023 12:00:00 AM","Bow Island","4624","0","121","0","30",
"25-051-21680-00-00","5/31/2023 12:00:00 AM","Bow Island","4624","0","121","0","30",
"25-051-21680-00-00","4/30/2023 12:00:00 AM","Bow Island","4624","0","122","0","30",
"25-051-21680-00-00","3/31/2023 12:00:00 AM","Bow Island","4624","0","150","0","30",
"25-051-21680-00-00","2/28/2023 12:00:00 AM","Bow Island","4624","0","123","0","30",
"25-051-21680-00-00","1/31/2023 12:00:00 AM","Bow Island","4624","0","55","0","30",
"25-051-21680-00-00","12/31/2022 12:00:00 AM","Bow Island","4624","0","145","0","30",
"25-051-21680-00-00","11/30/2022 12:00:00 AM","Bow Island","4624","0","119","0","30",
"25-051-21680-00-00","10/31/2022 12:00:00 AM","Bow Island","4624","0","120","0","30",
"25-051-21680-00-00","9/30/2022 12:00:00 AM","Bow Island","4624","0","127","0","30",
"25-051-21680-00-00","8/31/2022 12:00:00 AM","Bow Island","4624","0","128","0","30",
"25-051-21680-00-00","7/31/2022 12:00:00 AM","Bow Island","4624","0","122","0","30",
"25-051-21680-00-00","6/30/2022 12:00:00 AM","Bow Island","4624","0","142","0","30",
"25-051-21680-00-00","5/31/2022 12:00:00 AM","Bow Island","4624","0","142","0","30",
"25-051-21680-00-00","4/30/2022 12:00:00 AM","Bow Island","4624","0","149","0","30",
"25-051-21680-00-00","3/31/2022 12:00:00 AM","Bow Island","4624","0","131","0","30",
"25-051-21680-00-00","2/28/2022 12:00:00 AM","Bow Island","4624","0","133","0","30",
"25-051-21680-00-00","1/31/2022 12:00:00 AM","Bow Island","4624","0","182","0","30",
"25-051-21680-00-00","12/31/2021 12:00:00 AM","Bow Island","4624","0","178","0","30",
"25-051-21680-00-00","11/30/2021 12:00:00 AM","Bow Island","4624","0","137","0","30",
"25-051-21680-00-00","10/31/2021 12:00:00 AM","Bow Island","4624","0","0","0","30",
"25-051-21680-00-00","8/31/2021 12:00:00 AM","Bow Island","4624","0","142","0","30",
"25-051-21680-00-00","7/31/2021 12:00:00 AM","Bow Island","4624","0","144","0","30",
"25-051-21680-00-00","6/30/2021 12:00:00 AM","Bow Island","4624","0","147","0","30",
"25-051-21680-00-00","5/31/2021 12:00:00 AM","Bow Island","4624","0","137","0","30",
"25-051-21680-00-00","4/30/2021 12:00:00 AM","Bow Island","4624","0","144","0","30",
"25-051-21680-00-00","3/31/2021 12:00:00 AM","Bow Island","4624","0","115","0","30",
"25-051-21680-00-00","2/28/2021 12:00:00 AM","Bow Island","4624","0","139","0","30",
"25-051-21680-00-00","1/31/2021 12:00:00 AM","Bow Island","4624","0","133","0","30",
"25-051-21680-00-00","12/31/2020 12:00:00 AM","Bow Island","4624","0","134","0","30",
"25-051-21680-00-00","11/30/2020 12:00:00 AM","Bow Island","4624","0","133","0","30",
"25-051-21680-00-00","10/31/2020 12:00:00 AM","Bow Island","4624","0","132","0","30",
"25-051-21680-00-00","9/30/2020 12:00:00 AM","Bow Island","4624","0","126","0","30",
"25-051-21680-00-00","8/31/2020 12:00:00 AM","Bow Island","4624","0","117","0","30",
"25-051-21680-00-00","7/31/2020 12:00:00 AM","Bow Island","4624","0","124","0","30",
"25-051-21680-00-00","6/30/2020 12:00:00 AM","Bow Island","4624","0","97","0","30",
"25-051-21680-00-00","5/31/2020 12:00:00 AM","Bow Island","4624","0","116","0","30",
"25-051-21680-00-00","4/30/2020 12:00:00 AM","Bow Island","4624","0","118","0","30",
"25-051-21680-00-00","3/31/2020 12:00:00 AM","Bow Island","4624","0","127","0","30",
"25-051-21680-00-00","2/29/2020 12:00:00 AM","Bow Island","4624","0","117","0","30",
"25-051-21680-00-00","1/31/2020 12:00:00 AM","Bow Island","4624","0","128","0","30",
"25-051-21680-00-00","12/31/2019 12:00:00 AM","Bow Island","4624","0","125","0","31",
"25-051-21680-00-00","11/30/2019 12:00:00 AM","Bow Island","4624","0","119","0","30",
"25-051-21680-00-00","10/31/2019 12:00:00 AM","Bow Island","4624","0","127","0","31",
"25-051-21680-00-00","9/30/2019 12:00:00 AM","Bow Island","4624","0","121","0","30",
"25-051-21680-00-00","8/31/2019 12:00:00 AM","Bow Island","4624","0","109","0","31",
"25-051-21680-00-00","7/31/2019 12:00:00 AM","Bow Island","4624","0","114","0","31",
"25-051-21680-00-00","6/30/2019 12:00:00 AM","Bow Island","4624","0","114","0","30",
"25-051-21680-00-00","5/31/2019 12:00:00 AM","Bow Island","4624","0","136","0","31",
"25-051-21680-00-00","4/30/2019 12:00:00 AM","Bow Island","4624","0","133","0","30",
"25-051-21680-00-00","3/31/2019 12:00:00 AM","Bow Island","4624","0","131","0","31",
"25-051-21680-00-00","2/28/2019 12:00:00 AM","Bow Island","4624","0","134","0","28",
"25-051-21680-00-00","1/31/2019 12:00:00 AM","Bow Island","4624","0","84","0","31",
"25-051-21680-00-00","12/31/2018 12:00:00 AM","Bow Island","4624","0","142","0","31",
"25-051-21680-00-00","11/30/2018 12:00:00 AM","Bow Island","4624","0","141","0","30",
"25-051-21680-00-00","10/31/2018 12:00:00 AM","Bow Island","4624","0","138","0","31",
"25-051-21680-00-00","9/30/2018 12:00:00 AM","Bow Island","4624","0","135","0","30",
"25-051-21680-00-00","8/31/2018 12:00:00 AM","Bow Island","4624","0","128","0","31",
"25-051-21680-00-00","7/31/2018 12:00:00 AM","Bow Island","4624","0","140","0","31",
"25-051-21680-00-00","6/30/2018 12:00:00 AM","Bow Island","4624","0","120","0","30",
"25-051-21680-00-00","5/31/2018 12:00:00 AM","Bow Island","4624","0","136","0","31",
"25-051-21680-00-00","4/30/2018 12:00:00 AM","Bow Island","4624","0","133","0","30",
"25-051-21680-00-00","3/31/2018 12:00:00 AM","Bow Island","4624","0","136","0","31",
"25-051-21680-00-00","2/28/2018 12:00:00 AM","Bow Island","4624","0","151","0","28",
"25-051-21680-00-00","1/31/2018 12:00:00 AM","Bow Island","4624","0","141","0","31",
"25-051-21680-00-00","12/31/2017 12:00:00 AM","Bow Island","4624","0","178","0","31",
"25-051-21680-00-00","11/30/2017 12:00:00 AM","Bow Island","4624","0","152","0","30",
"25-051-21680-00-00","10/31/2017 12:00:00 AM","Bow Island","4624","0","174","0","31",
"25-051-21680-00-00","9/30/2017 12:00:00 AM","Bow Island","4624","0","175","0","30",
"25-051-21680-00-00","8/31/2017 12:00:00 AM","Bow Island","4624","0","188","0","31",
"25-051-21680-00-00","7/31/2017 12:00:00 AM","Bow Island","4624","0","14","0","31",
"25-051-21680-00-00","6/30/2017 12:00:00 AM","Bow Island","4624","0","183","0","30",
"25-051-21680-00-00","5/31/2017 12:00:00 AM","Bow Island","4624","0","191","0","31",
"25-051-21680-00-00","4/30/2017 12:00:00 AM","Bow Island","4624","0","189","0","30",
"25-051-21680-00-00","3/31/2017 12:00:00 AM","Bow Island","4624","0","195","0","31",
"25-051-21680-00-00","2/28/2017 12:00:00 AM","Bow Island","4624","0","161","0","28",
"25-051-21680-00-00","1/31/2017 12:00:00 AM","Bow Island","4624","0","161","0","31",
"25-051-21680-00-00","12/31/2016 12:00:00 AM","Bow Island","4624","0","163","0","31",
"25-051-21680-00-00","11/30/2016 12:00:00 AM","Bow Island","4624","0","156","0","30",
"25-051-21680-00-00","10/31/2016 12:00:00 AM","Bow Island","4624","0","169","0","31",
"25-051-21680-00-00","9/30/2016 12:00:00 AM","Bow Island","4624","0","150","0","30",
"25-051-21680-00-00","8/31/2016 12:00:00 AM","Bow Island","4624","0","164","0","31",
