"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25101235210000","A. B. Energy LLC","Barger  28-34-1","Gas","Producing","Toole","Prairie Dell","34N-1W","28",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-101-23521-00-00","7/31/2025 12:00:00 AM","Bow Island, Sunburst","4648","0","113","0","31",
"25-101-23521-00-00","6/30/2025 12:00:00 AM","Bow Island, Sunburst","4648","0","94","0","30",
"25-101-23521-00-00","5/31/2025 12:00:00 AM","Bow Island, Sunburst","4648","0","115","0","31",
"25-101-23521-00-00","4/30/2025 12:00:00 AM","Bow Island, Sunburst","4648","0","127","0","30",
"25-101-23521-00-00","3/31/2025 12:00:00 AM","Bow Island, Sunburst","4648","0","116","0","31",
"25-101-23521-00-00","2/28/2025 12:00:00 AM","Bow Island, Sunburst","4648","0","108","0","28",
"25-101-23521-00-00","1/31/2025 12:00:00 AM","Bow Island, Sunburst","4648","0","207","0","31",
"25-101-23521-00-00","12/31/2024 12:00:00 AM","Bow Island, Sunburst","4648","0","211","0","31",
"25-101-23521-00-00","11/30/2024 12:00:00 AM","Bow Island, Sunburst","4648","0","207","0","30",
"25-101-23521-00-00","10/31/2024 12:00:00 AM","Bow Island, Sunburst","4648","0","197","0","31",
"25-101-23521-00-00","9/30/2024 12:00:00 AM","Bow Island, Sunburst","4648","0","188","0","30",
"25-101-23521-00-00","8/31/2024 12:00:00 AM","Bow Island, Sunburst","4648","0","200","0","31",
"25-101-23521-00-00","7/31/2024 12:00:00 AM","Bow Island, Sunburst","4648","0","169","0","31",
"25-101-23521-00-00","6/30/2024 12:00:00 AM","Bow Island, Sunburst","4648","0","176","0","30",
"25-101-23521-00-00","5/31/2024 12:00:00 AM","Bow Island, Sunburst","4648","0","176","0","31",
"25-101-23521-00-00","4/30/2024 12:00:00 AM","Bow Island, Sunburst","4648","0","195","0","30",
"25-101-23521-00-00","3/31/2024 12:00:00 AM","Bow Island, Sunburst","4648","0","193","0","30",
"25-101-23521-00-00","2/29/2024 12:00:00 AM","Bow Island, Sunburst","4648","0","170","0","30",
"25-101-23521-00-00","1/31/2024 12:00:00 AM","Bow Island, Sunburst","4648","0","139","0","30",
"25-101-23521-00-00","12/31/2023 12:00:00 AM","Bow Island, Sunburst","4648","0","179","0","30",
"25-101-23521-00-00","11/30/2023 12:00:00 AM","Bow Island, Sunburst","4648","0","155","0","30",
"25-101-23521-00-00","10/31/2023 12:00:00 AM","Bow Island, Sunburst","4648","0","172","0","30",
"25-101-23521-00-00","9/30/2023 12:00:00 AM","Bow Island, Sunburst","4648","0","179","0","30",
"25-101-23521-00-00","8/31/2023 12:00:00 AM","Bow Island, Sunburst","4648","0","142","0","30",
"25-101-23521-00-00","7/31/2023 12:00:00 AM","Bow Island, Sunburst","4648","0","132","0","30",
"25-101-23521-00-00","6/30/2023 12:00:00 AM","Bow Island, Sunburst","4648","0","191","0","30",
"25-101-23521-00-00","5/31/2023 12:00:00 AM","Bow Island, Sunburst","4648","0","191","0","30",
"25-101-23521-00-00","4/30/2023 12:00:00 AM","Bow Island, Sunburst","4648","0","186","0","30",
"25-101-23521-00-00","3/31/2023 12:00:00 AM","Bow Island, Sunburst","4648","0","174","0","30",
"25-101-23521-00-00","2/28/2023 12:00:00 AM","Bow Island, Sunburst","4648","0","174","0","30",
"25-101-23521-00-00","1/31/2023 12:00:00 AM","Bow Island, Sunburst","4648","0","173","0","30",
"25-101-23521-00-00","12/31/2022 12:00:00 AM","Bow Island, Sunburst","4648","0","178","0","30",
"25-101-23521-00-00","11/30/2022 12:00:00 AM","Bow Island, Sunburst","4648","0","168","0","30",
"25-101-23521-00-00","10/31/2022 12:00:00 AM","Bow Island, Sunburst","4648","0","193","0","30",
"25-101-23521-00-00","9/30/2022 12:00:00 AM","Bow Island, Sunburst","4648","0","155","0","30",
"25-101-23521-00-00","8/31/2022 12:00:00 AM","Bow Island, Sunburst","4648","0","139","0","30",
"25-101-23521-00-00","7/31/2022 12:00:00 AM","Bow Island, Sunburst","4648","0","131","0","30",
"25-101-23521-00-00","6/30/2022 12:00:00 AM","Bow Island, Sunburst","4648","0","181","0","30",
"25-101-23521-00-00","5/31/2022 12:00:00 AM","Bow Island, Sunburst","4648","0","179","0","30",
"25-101-23521-00-00","4/30/2022 12:00:00 AM","Bow Island, Sunburst","4648","0","136","0","30",
"25-101-23521-00-00","3/31/2022 12:00:00 AM","Bow Island, Sunburst","4648","0","139","0","30",
"25-101-23521-00-00","2/28/2022 12:00:00 AM","Bow Island, Sunburst","4648","0","139","0","30",
"25-101-23521-00-00","1/31/2022 12:00:00 AM","Bow Island, Sunburst","4648","0","44","0","30",
"25-101-23521-00-00","12/31/2021 12:00:00 AM","Bow Island, Sunburst","4648","0","171","0","30",
"25-101-23521-00-00","11/30/2021 12:00:00 AM","Bow Island, Sunburst","4648","0","105","0","30",
"25-101-23521-00-00","10/31/2021 12:00:00 AM","Bow Island, Sunburst","4648","0","156","0","30",
"25-101-23521-00-00","8/31/2021 12:00:00 AM","Bow Island, Sunburst","4648","0","123","0","30",
"25-101-23521-00-00","7/31/2021 12:00:00 AM","Bow Island, Sunburst","4648","0","156","0","30",
"25-101-23521-00-00","6/30/2021 12:00:00 AM","Bow Island, Sunburst","4648","0","160","0","30",
"25-101-23521-00-00","5/31/2021 12:00:00 AM","Bow Island, Sunburst","4648","0","184","0","30",
"25-101-23521-00-00","4/30/2021 12:00:00 AM","Bow Island, Sunburst","4648","0","169","0","30",
"25-101-23521-00-00","3/31/2021 12:00:00 AM","Bow Island, Sunburst","4648","0","160","0","28",
"25-101-23521-00-00","2/28/2021 12:00:00 AM","Bow Island, Sunburst","4648","0","165","0","28",
"25-101-23521-00-00","1/31/2021 12:00:00 AM","Bow Island, Sunburst","4648","0","183","0","31",
"25-101-23521-00-00","12/31/2020 12:00:00 AM","Bow Island, Sunburst","4648","0","182","0","31",
"25-101-23521-00-00","11/30/2020 12:00:00 AM","Bow Island, Sunburst","4648","0","185","0","30",
