"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25101234160000","A. B. Energy LLC","Batts  1-13","Gas","Producing","Toole","Dunkirk, North","33N-1W","13",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-101-23416-00-00","7/31/2025 12:00:00 AM","Bow Island","4476","0","32","0","31",
"25-101-23416-00-00","6/30/2025 12:00:00 AM","Bow Island","4476","0","35","0","30",
"25-101-23416-00-00","5/31/2025 12:00:00 AM","Bow Island","4476","0","41","0","31",
"25-101-23416-00-00","4/30/2025 12:00:00 AM","Bow Island","4476","0","44","0","30",
"25-101-23416-00-00","3/31/2025 12:00:00 AM","Bow Island","4476","0","50","0","31",
"25-101-23416-00-00","2/28/2025 12:00:00 AM","Bow Island","4476","0","44","0","28",
"25-101-23416-00-00","1/31/2025 12:00:00 AM","Bow Island","4476","0","43","0","31",
"25-101-23416-00-00","12/31/2024 12:00:00 AM","Bow Island","4476","0","30","0","31",
"25-101-23416-00-00","11/30/2024 12:00:00 AM","Bow Island","4476","0","26","0","30",
"25-101-23416-00-00","10/31/2024 12:00:00 AM","Bow Island","4476","0","28","0","31",
"25-101-23416-00-00","9/30/2024 12:00:00 AM","Bow Island","4476","0","28","0","30",
"25-101-23416-00-00","8/31/2024 12:00:00 AM","Bow Island","4476","0","31","0","31",
"25-101-23416-00-00","7/31/2024 12:00:00 AM","Bow Island","4476","0","32","0","31",
"25-101-23416-00-00","6/30/2024 12:00:00 AM","Bow Island","4476","0","33","0","30",
"25-101-23416-00-00","5/31/2024 12:00:00 AM","Bow Island","4476","0","36","0","31",
"25-101-23416-00-00","4/30/2024 12:00:00 AM","Bow Island","4476","0","44","0","30",
"25-101-23416-00-00","3/31/2024 12:00:00 AM","Bow Island","4476","0","44","0","30",
"25-101-23416-00-00","2/29/2024 12:00:00 AM","Bow Island","4476","0","43","0","30",
"25-101-23416-00-00","1/31/2024 12:00:00 AM","Bow Island","4476","0","44","0","30",
"25-101-23416-00-00","12/31/2023 12:00:00 AM","Bow Island","4476","0","33","0","30",
"25-101-23416-00-00","11/30/2023 12:00:00 AM","Bow Island","4476","0","32","0","30",
"25-101-23416-00-00","10/31/2023 12:00:00 AM","Bow Island","4476","0","31","0","30",
"25-101-23416-00-00","9/30/2023 12:00:00 AM","Bow Island","4476","0","30","0","30",
"25-101-23416-00-00","8/31/2023 12:00:00 AM","Bow Island","4476","0","28","0","30",
"25-101-23416-00-00","7/31/2023 12:00:00 AM","Bow Island","4476","0","27","0","30",
"25-101-23416-00-00","6/30/2023 12:00:00 AM","Bow Island","4476","0","27","0","30",
"25-101-23416-00-00","5/31/2023 12:00:00 AM","Bow Island","4476","0","33","0","30",
"25-101-23416-00-00","4/30/2023 12:00:00 AM","Bow Island","4476","0","52","0","30",
"25-101-23416-00-00","3/31/2023 12:00:00 AM","Bow Island","4476","0","53","0","30",
"25-101-23416-00-00","2/28/2023 12:00:00 AM","Bow Island","4476","0","43","0","30",
"25-101-23416-00-00","1/31/2023 12:00:00 AM","Bow Island","4476","0","50","0","30",
"25-101-23416-00-00","12/31/2022 12:00:00 AM","Bow Island","4476","0","41","0","30",
"25-101-23416-00-00","11/30/2022 12:00:00 AM","Bow Island","4476","0","27","0","30",
"25-101-23416-00-00","10/31/2022 12:00:00 AM","Bow Island","4476","0","27","0","30",
"25-101-23416-00-00","9/30/2022 12:00:00 AM","Bow Island","4476","0","26","0","30",
"25-101-23416-00-00","8/31/2022 12:00:00 AM","Bow Island","4476","0","27","0","30",
"25-101-23416-00-00","7/31/2022 12:00:00 AM","Bow Island","4476","0","28","0","30",
"25-101-23416-00-00","6/30/2022 12:00:00 AM","Bow Island","4476","0","27","0","30",
"25-101-23416-00-00","5/31/2022 12:00:00 AM","Bow Island","4476","0","27","0","30",
"25-101-23416-00-00","4/30/2022 12:00:00 AM","Bow Island","4476","0","51","0","30",
"25-101-23416-00-00","3/31/2022 12:00:00 AM","Bow Island","4476","0","41","0","30",
"25-101-23416-00-00","2/28/2022 12:00:00 AM","Bow Island","4476","0","33","0","30",
"25-101-23416-00-00","1/31/2022 12:00:00 AM","Bow Island","4476","0","48","0","30",
"25-101-23416-00-00","12/31/2021 12:00:00 AM","Bow Island","4476","0","53","0","30",
"25-101-23416-00-00","11/30/2021 12:00:00 AM","Bow Island","4476","0","28","0","30",
"25-101-23416-00-00","10/31/2021 12:00:00 AM","Bow Island","4476","0","28","0","30",
"25-101-23416-00-00","8/31/2021 12:00:00 AM","Bow Island","4476","0","30","0","30",
"25-101-23416-00-00","7/31/2021 12:00:00 AM","Bow Island","4476","0","32","0","30",
