"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25101239570000","Somont Oil Company, Inc.","Baldwin  23-5","Gas","Producing","Toole","Amanda","36N-4W","23",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-101-23957-00-00","7/31/2025 12:00:00 AM","Swift, Sunburst","6725","0","261","0","31",
"25-101-23957-00-00","6/30/2025 12:00:00 AM","Swift, Sunburst","6725","0","366","0","30",
"25-101-23957-00-00","5/31/2025 12:00:00 AM","Swift, Sunburst","6725","0","306","0","31",
"25-101-23957-00-00","4/30/2025 12:00:00 AM","Swift, Sunburst","6725","0","249","0","30",
"25-101-23957-00-00","3/31/2025 12:00:00 AM","Swift, Sunburst","6725","0","258","0","31",
"25-101-23957-00-00","2/28/2025 12:00:00 AM","Swift, Sunburst","6725","0","217","0","28",
"25-101-23957-00-00","1/31/2025 12:00:00 AM","Swift, Sunburst","6725","0","25","0","31",
"25-101-23957-00-00","12/31/2024 12:00:00 AM","Swift, Sunburst","6725","0","353","0","31",
"25-101-23957-00-00","11/30/2024 12:00:00 AM","Swift, Sunburst","6725","0","233","0","30",
"25-101-23957-00-00","10/31/2024 12:00:00 AM","Swift, Sunburst","6725","0","321","0","31",
"25-101-23957-00-00","9/30/2024 12:00:00 AM","Swift, Sunburst","6725","0","319","0","30",
"25-101-23957-00-00","8/31/2024 12:00:00 AM","Swift, Sunburst","6725","0","467","0","31",
"25-101-23957-00-00","7/31/2024 12:00:00 AM","Swift, Sunburst","6725","0","212","0","31",
"25-101-23957-00-00","6/30/2024 12:00:00 AM","Swift, Sunburst","6725","0","332","0","30",
"25-101-23957-00-00","5/31/2024 12:00:00 AM","Swift, Sunburst","6725","0","302","0","31",
"25-101-23957-00-00","4/30/2024 12:00:00 AM","Swift, Sunburst","6725","0","335","0","30",
"25-101-23957-00-00","3/31/2024 12:00:00 AM","Swift, Sunburst","6725","0","368","0","31",
"25-101-23957-00-00","2/29/2024 12:00:00 AM","Swift, Sunburst","6725","0","269","0","29",
"25-101-23957-00-00","1/31/2024 12:00:00 AM","Swift, Sunburst","6725","0","269","0","31",
"25-101-23957-00-00","12/31/2023 12:00:00 AM","Swift, Sunburst","6725","0","285","0","31",
"25-101-23957-00-00","11/30/2023 12:00:00 AM","Swift, Sunburst","6725","0","129","0","30",
"25-101-23957-00-00","10/31/2023 12:00:00 AM","Swift, Sunburst","6725","0","405","0","31",
"25-101-23957-00-00","9/30/2023 12:00:00 AM","Swift, Sunburst","6725","0","44","0","30",
"25-101-23957-00-00","8/31/2023 12:00:00 AM","Swift, Sunburst","6725","0","170","0","31",
"25-101-23957-00-00","7/31/2023 12:00:00 AM","Swift, Sunburst","6725","0","0","0","31",
"25-101-23957-00-00","6/30/2023 12:00:00 AM","Swift, Sunburst","6725","0","481","0","30",
"25-101-23957-00-00","5/31/2023 12:00:00 AM","Swift, Sunburst","6725","0","173","0","31",
"25-101-23957-00-00","4/30/2023 12:00:00 AM","Swift, Sunburst","6725","0","168","0","30",
"25-101-23957-00-00","3/31/2023 12:00:00 AM","Swift, Sunburst","6725","0","174","0","31",
"25-101-23957-00-00","2/28/2023 12:00:00 AM","Swift, Sunburst","6725","0","147","0","28",
"25-101-23957-00-00","1/31/2023 12:00:00 AM","Swift, Sunburst","6725","0","186","0","31",
"25-101-23957-00-00","12/31/2022 12:00:00 AM","Swift, Sunburst","6725","0","146","0","31",
"25-101-23957-00-00","11/30/2022 12:00:00 AM","Swift, Sunburst","6725","0","127","0","30",
"25-101-23957-00-00","10/31/2022 12:00:00 AM","Swift, Sunburst","6725","0","149","0","31",
"25-101-23957-00-00","9/30/2022 12:00:00 AM","Swift, Sunburst","6725","0","114","0","30",
"25-101-23957-00-00","8/31/2022 12:00:00 AM","Swift, Sunburst","6725","0","200","0","31",
"25-101-23957-00-00","7/31/2022 12:00:00 AM","Swift, Sunburst","6725","0","226","0","31",
"25-101-23957-00-00","6/30/2022 12:00:00 AM","Swift, Sunburst","6725","0","309","0","30",
"25-101-23957-00-00","5/31/2022 12:00:00 AM","Swift, Sunburst","6725","0","221","0","31",
"25-101-23957-00-00","4/30/2022 12:00:00 AM","Swift, Sunburst","6725","0","270","0","30",
"25-101-23957-00-00","3/31/2022 12:00:00 AM","Swift, Sunburst","6725","0","214","0","31",
"25-101-23957-00-00","2/28/2022 12:00:00 AM","Swift, Sunburst","6725","0","256","0","28",
"25-101-23957-00-00","1/31/2022 12:00:00 AM","Swift, Sunburst","6725","0","291","0","31",
"25-101-23957-00-00","12/31/2021 12:00:00 AM","Swift, Sunburst","6725","0","184","0","31",
"25-101-23957-00-00","11/30/2021 12:00:00 AM","Swift, Sunburst","6725","0","199","0","30",
"25-101-23957-00-00","10/31/2021 12:00:00 AM","Swift, Sunburst","6725","0","236","0","31",
"25-101-23957-00-00","9/30/2021 12:00:00 AM","Swift, Sunburst","6725","0","266","0","30",
"25-101-23957-00-00","8/31/2021 12:00:00 AM","Swift, Sunburst","6725","0","272","0","31",
"25-101-23957-00-00","7/31/2021 12:00:00 AM","Swift, Sunburst","6725","0","286","0","31",
"25-101-23957-00-00","6/30/2021 12:00:00 AM","Swift, Sunburst","6725","0","404","0","30",
"25-101-23957-00-00","5/31/2021 12:00:00 AM","Swift, Sunburst","6725","0","336","0","31",
"25-101-23957-00-00","4/30/2021 12:00:00 AM","Swift, Sunburst","6725","0","723","0","30",
"25-101-23957-00-00","3/31/2021 12:00:00 AM","Swift, Sunburst","6725","0","217","0","31",
"25-101-23957-00-00","2/28/2021 12:00:00 AM","Swift, Sunburst","6725","0","193","0","28",
"25-101-23957-00-00","1/31/2021 12:00:00 AM","Swift, Sunburst","6725","0","242","0","31",
"25-101-23957-00-00","12/31/2020 12:00:00 AM","Swift, Sunburst","6725","0","420","0","31",
"25-101-23957-00-00","11/30/2020 12:00:00 AM","Swift, Sunburst","6725","0","125","0","30",
"25-101-23957-00-00","10/31/2020 12:00:00 AM","Swift, Sunburst","6725","0","119","0","31",
"25-101-23957-00-00","9/30/2020 12:00:00 AM","Swift, Sunburst","6725","0","242","0","30",
"25-101-23957-00-00","8/31/2020 12:00:00 AM","Swift, Sunburst","6725","0","262","0","31",
"25-101-23957-00-00","7/31/2020 12:00:00 AM","Swift, Sunburst","6725","0","278","0","31",
"25-101-23957-00-00","6/30/2020 12:00:00 AM","Swift, Sunburst","6725","0","261","0","30",
"25-101-23957-00-00","5/31/2020 12:00:00 AM","Swift, Sunburst","6725","0","257","0","31",
"25-101-23957-00-00","4/30/2020 12:00:00 AM","Swift, Sunburst","6725","0","263","0","30",
"25-101-23957-00-00","3/31/2020 12:00:00 AM","Swift, Sunburst","6725","0","351","0","31",
"25-101-23957-00-00","2/29/2020 12:00:00 AM","Swift, Sunburst","6725","0","0","0","29",
"25-101-23957-00-00","1/31/2020 12:00:00 AM","Swift, Sunburst","6725","0","114","0","31",
"25-101-23957-00-00","12/31/2019 12:00:00 AM","Swift, Sunburst","6725","0","248","0","31",
"25-101-23957-00-00","11/30/2019 12:00:00 AM","Swift, Sunburst","6725","0","336","0","30",
"25-101-23957-00-00","10/31/2019 12:00:00 AM","Swift, Sunburst","6725","0","279","0","31",
"25-101-23957-00-00","9/30/2019 12:00:00 AM","Swift, Sunburst","6725","0","309","0","30",
"25-101-23957-00-00","8/31/2019 12:00:00 AM","Swift, Sunburst","6725","0","278","0","31",
"25-101-23957-00-00","7/31/2019 12:00:00 AM","Swift, Sunburst","6725","0","308","0","31",
"25-101-23957-00-00","6/30/2019 12:00:00 AM","Swift, Sunburst","6725","0","356","0","30",
"25-101-23957-00-00","5/31/2019 12:00:00 AM","Swift, Sunburst","6725","0","316","0","31",
"25-101-23957-00-00","4/30/2019 12:00:00 AM","Swift, Sunburst","6725","0","0","0","30",
"25-101-23957-00-00","3/31/2019 12:00:00 AM","Swift, Sunburst","6725","0","0","0","31",
"25-101-23957-00-00","2/28/2019 12:00:00 AM","Swift, Sunburst","6725","0","75","0","28",
"25-101-23957-00-00","1/31/2019 12:00:00 AM","Swift, Sunburst","6725","0","219","0","31",
"25-101-23957-00-00","12/31/2018 12:00:00 AM","Swift, Sunburst","6725","0","182","0","31",
