"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25041234110000","NorthWestern Corporation","Bessette  7-3-35-17","Gas","P&A - Approved","Hill","Red Rock","35N-17E","7",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-041-23411-00-00","7/31/2020 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","6/30/2020 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","5/31/2020 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","4/30/2020 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","3/31/2020 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","2/29/2020 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","1/31/2020 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","12/31/2019 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","11/30/2019 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","10/31/2019 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","9/30/2019 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","8/31/2019 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","7/31/2019 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","6/30/2019 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","5/31/2019 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","4/30/2019 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","3/31/2019 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","2/28/2019 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","1/31/2019 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","12/31/2018 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","11/30/2018 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","10/31/2018 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","9/30/2018 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","8/31/2018 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","7/31/2018 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","6/30/2018 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","5/31/2018 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","4/30/2018 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","3/31/2018 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","2/28/2018 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","1/31/2018 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","12/31/2017 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","11/30/2017 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","10/31/2017 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","9/30/2017 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","8/31/2017 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","7/31/2017 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","6/30/2017 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","5/31/2017 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","4/30/2017 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","3/31/2017 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","2/28/2017 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","1/31/2017 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","12/31/2016 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","11/30/2016 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","10/31/2016 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","9/30/2016 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","8/31/2016 12:00:00 AM","Niobrara","7827","0","0","0","0",
"25-041-23411-00-00","7/31/2016 12:00:00 AM","Niobrara","7827","0","27","16","6",
"25-041-23411-00-00","6/30/2016 12:00:00 AM","Niobrara","7827","0","62","15","10",
"25-041-23411-00-00","5/31/2016 12:00:00 AM","Niobrara","7827","0","71","16","11",
"25-041-23411-00-00","4/30/2016 12:00:00 AM","Niobrara","7827","0","68","15","10",
"25-041-23411-00-00","3/31/2016 12:00:00 AM","Niobrara","7827","0","75","16","10",
"25-041-23411-00-00","2/29/2016 12:00:00 AM","Niobrara","7827","0","90","15","10",
"25-041-23411-00-00","1/31/2016 12:00:00 AM","Niobrara","7827","0","20","16","2",
"25-041-23411-00-00","12/31/2015 12:00:00 AM","Niobrara","7827","0","240","16","10",
"25-041-23411-00-00","11/30/2015 12:00:00 AM","Niobrara","7827","0","178","15","9",
"25-041-23411-00-00","10/31/2015 12:00:00 AM","Niobrara","7827","0","202","16","10",
"25-041-23411-00-00","9/30/2015 12:00:00 AM","Niobrara","7827","0","204","15","11",
"25-041-23411-00-00","8/31/2015 12:00:00 AM","Niobrara","7827","0","188","16","11",
"25-041-23411-00-00","7/31/2015 12:00:00 AM","Niobrara","7827","0","188","16","11",
"25-041-23411-00-00","6/30/2015 12:00:00 AM","Niobrara","7827","0","163","15","9",
"25-041-23411-00-00","5/31/2015 12:00:00 AM","Niobrara","7827","0","197","16","10",
"25-041-23411-00-00","4/30/2015 12:00:00 AM","Niobrara","7827","0","197","15","15",
"25-041-23411-00-00","3/31/2015 12:00:00 AM","Niobrara","7827","0","205","16","29",
"25-041-23411-00-00","2/28/2015 12:00:00 AM","Niobrara","7827","0","181","14","16",
"25-041-23411-00-00","1/31/2015 12:00:00 AM","Niobrara","7827","0","202","16","12",
"25-041-23411-00-00","12/31/2014 12:00:00 AM","Niobrara","7827","0","194","16","11",
"25-041-23411-00-00","11/30/2014 12:00:00 AM","Niobrara","7827","0","182","15","10",
"25-041-23411-00-00","10/31/2014 12:00:00 AM","Niobrara","7827","0","196","16","10",
"25-041-23411-00-00","9/30/2014 12:00:00 AM","Niobrara","7827","0","219","15","10",
"25-041-23411-00-00","8/31/2014 12:00:00 AM","Niobrara","7827","0","218","16","11",
"25-041-23411-00-00","7/31/2014 12:00:00 AM","Niobrara","7827","0","216","60","11",
"25-041-23411-00-00","6/30/2014 12:00:00 AM","Niobrara","7827","0","207","58","16",
"25-041-23411-00-00","5/31/2014 12:00:00 AM","Niobrara","7827","0","242","60","31",
"25-041-23411-00-00","4/30/2014 12:00:00 AM","Niobrara","7827","0","241","58","30",
"25-041-23411-00-00","3/31/2014 12:00:00 AM","Niobrara","7827","0","241","60","31",
"25-041-23411-00-00","2/28/2014 12:00:00 AM","Niobrara","7827","0","211","54","28",
"25-041-23411-00-00","1/31/2014 12:00:00 AM","Niobrara","7827","0","243","60","31",
"25-041-23411-00-00","12/31/2013 12:00:00 AM","Niobrara","7827","0","245","60","31",
"25-041-23411-00-00","11/30/2013 12:00:00 AM","Niobrara","7827","0","229","58","30",
"25-041-23411-00-00","10/31/2013 12:00:00 AM","Niobrara","7827","0","230","60","31",
"25-041-23411-00-00","9/30/2013 12:00:00 AM","Niobrara","7827","0","224","58","30",
"25-041-23411-00-00","8/31/2013 12:00:00 AM","Niobrara","7827","0","235","60","31",
"25-041-23411-00-00","7/31/2013 12:00:00 AM","Niobrara","7827","0","260","84","31",
"25-041-23411-00-00","6/30/2013 12:00:00 AM","Niobrara","7827","0","243","145","30",
"25-041-23411-00-00","5/31/2013 12:00:00 AM","Niobrara","7827","0","231","150","31",
"25-041-23411-00-00","4/30/2013 12:00:00 AM","Niobrara","7827","0","192","145","30",
"25-041-23411-00-00","3/31/2013 12:00:00 AM","Niobrara","7827","0","214","150","31",
"25-041-23411-00-00","2/28/2013 12:00:00 AM","Niobrara","7827","0","206","135","28",
